Relationship	Age	Distractor_Colour	Gender	Distractor_Neutral	Distractor_Emotional	Distractor_Sexual	Target_Neutral	Target_Emotional	Target_Sexual
Without partner	39	White	male	0	0	0	0	1	0
Without partner	22	Colour	male	0	0	0	0	1	2
Without partner	22	White	male	0	0	0	4	2	1
Without partner	22	White	male	0	0	1	2	1	1
Without partner	23	Colour	male	0	0	0	1	2	2
Without partner	29	Colour	male	0	0	0	1	2	3
Without partner	27	Colour	male	0	0	2	2	0	3
Without partner	21	White	male	0	0	0	1	0	4
Without partner	21	White	male	0	0	0	1	2	1
Without partner	25	Colour	male	1	0	1	2	0	1
Without partner	21	Colour	male	0	0	0	3	2	3
Without partner	23	White	male	0	0	0	1	1	4
Without partner	28	White	male	0	0	0	1	4	1
With partner	20	White	male	0	0	1	0	1	0
With partner	29	Colour	male	0	0	2	1	1	0
With partner	22	White	male	0	0	0	1	3	0
With partner	30	White	male	1	3	2	3	4	1
With partner	25	White	male	0	1	1	2	5	0
With partner	26	Colour	male	0	1	2	1	0	1
With partner	21	Colour	male	0	2	0	1	0	1
With partner	26	Colour	male	0	0	1	2	4	2
With partner	34	Colour	male	1	0	0	1	3	3
With partner	21	White	male	0	0	0	0	0	1
With partner	21	White	male	1	1	1	1	3	1
With partner	21	White	male	0	0	0	3	4	3
With partner	21	White	male	0	0	0	1	0	0
With partner	21	Colour	male	0	0	0	2	2	1
With partner	28	Colour	male	0	2	1	2	2	0
With partner	24	Colour	male	0	0	1	1	1	0
With partner	28	White	male	0	0	0	2	2	1
With partner	19	White	male	0	0	0	1	2	1
With partner	22	White	male	0	0	0	2	1	2
With partner	23	White	male	0	0	0	1	4	2
With partner	26	Colour	male	0	0	1	3	4	4
With partner	20	Colour	male	0	3	3	1	1	1
With partner	28	Colour	male	0	1	0	1	1	1
With partner	29	Colour	male	0	0	0	0	0	0
With partner	29	White	male	0	0	0	3	2	0
With partner	28	Colour	male	2	0	2	4	0	0
Without partner	21	Colour	female	0	0	1	1	2	1
Without partner	22	White	female	0	0	0	0	2	0
Without partner	22	White	female	0	0	1	1	2	1
Without partner	20	Colour	female	0	0	0	1	1	3
Without partner	26	Colour	female	0	0	0	2	5	1
Without partner	20	Colour	female	0	0	0	2	1	1
Without partner	26	Colour	female	0	2	3	1	0	1
Without partner	23	Colour	female	0	2	3	0	4	1
Without partner	21	Colour	female	0	0	1	4	1	0
Without partner	22	White	female	0	0	0	0	2	3
Without partner	24	White	female	0	0	1	1	2	1
Without partner	22	White	female	0	0	0	2	3	2
Without partner	21	Colour	female	0	0	0	3	2	3
Without partner	27	White	female	0	0	0	3	1	3
With partner	20	Colour	female	1	0	1	2	4	2
With partner	29	Colour	female	0	3	1	2	0	0
With partner	22	White	female	0	2	0	2	0	1
With partner	22	White	female	0	3	2	4	2	3
With partner	19	White	female	0	3	1	1	0	0
With partner	33	Colour	female	0	0	0	2	0	1
With partner	21	Colour	female	0	1	0	2	2	2
With partner	28	Colour	female	0	0	1	1	0	0
With partner	23	White	female	0	1	1	4	0	1
With partner	21	White	female	0	1	0	2	1	2
With partner	23	White	female	0	2	1	1	1	1
With partner	20	White	female	0	1	2	4	4	2
With partner	22	White	female	0	0	0	3	1	1
With partner	25	White	female	0	2	3	2	2	3
With partner	23	Colour	female	0	3	3	1	0	0
With partner	23	Colour	female	0	2	2	1	0	2
With partner	24	White	female	0	0	0	0	2	2
With partner	25	White	female	0	1	1	0	1	1
With partner	22	White	female	0	0	1	1	1	2
With partner	28	Colour	female	0	1	0	4	2	5
With partner	23	Colour	female	0	1	0	1	2	2
With partner	25	Colour	female	0	0	0	1	2	1
With partner	22	Colour	female	0	1	0	3	3	2
With partner	27	Colour	female	0	3	1	2	1	1
With partner	21	White	female	0	0	0	1	1	3
With partner	21	White	female	0	1	1	2	3	2
With partner	27	Colour	female	0	0	0	2	2	2
